player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200001,P,01,R,19840117,SYN,177,
200002,P,02,R,19950311,SYN,189,
200003,P,03,R,19901227,SYN,203,
200004,P,04,R,19940901,SYN,,
200005,P,05,R,19971024,SYN,189,
200006,P,06,R,19870811,SYN,193,
200007,P,07,R,19840420,SYN,184,
200008,P,08,R,19960819,SYN,185,
200009,P,09,R,19941212,SYN,185,
200010,P,10,L,19970420,SYN,204,
200011,P,11,R,19830316,SYN,176,
200012,P,12,R,19881020,SYN,183,
200013,P,13,L,19941002,SYN,173,
200014,P,14,L,19881010,SYN,196,
200015,P,15,R,19910608,SYN,173,
200016,P,16,R,19900218,SYN,174,
200017,P,17,R,19910718,SYN,191,
200018,P,18,R,19901022,SYN,176,
200019,P,19,R,19840518,SYN,201,
200020,P,20,R,19870930,SYN,184,
200021,P,21,L,19930423,SYN,205,
200022,P,22,L,19921201,SYN,194,
200023,P,23,R,19841001,SYN,197,
200024,P,24,R,19870828,SYN,171,
200025,P,25,L,19870108,SYN,173,
200026,P,26,R,19820412,SYN,192,
200027,P,27,R,19940905,SYN,177,
200028,P,28,R,19870104,SYN,195,
200029,P,29,L,19941002,SYN,194,
200030,P,30,R,19831003,SYN,203,
200031,P,31,R,19900504,SYN,193,
200032,P,32,R,19820408,SYN,171,
200033,P,33,L,19840111,SYN,176,
200034,P,34,R,19851013,SYN,192,
200035,P,35,R,19971201,SYN,204,
200036,P,36,R,19820128,SYN,185,
200037,P,37,R,19840817,SYN,191,
200038,P,38,R,19850507,SYN,180,
200039,P,39,R,19970213,SYN,188,
200040,P,40,R,19921112,SYN,180,
200041,P,41,L,19851225,SYN,202,
200042,P,42,R,19900210,SYN,195,
200043,P,43,R,19830319,SYN,173,
200044,P,44,R,19930822,SYN,201,
200045,P,45,R,19920730,SYN,,
200046,P,46,R,19900311,SYN,202,
200047,P,47,R,19940908,SYN,183,
200048,P,48,L,19860516,SYN,203,
200049,P,49,R,19821125,SYN,203,
200050,P,50,R,19960420,SYN,170,
200051,P,51,R,19890702,SYN,205,
200052,P,52,R,19890622,SYN,170,
200053,P,53,R,19840207,SYN,203,
200054,P,54,R,19851123,SYN,186,
200055,P,55,R,19890227,SYN,184,
200056,P,56,L,19940903,SYN,,
200057,P,57,R,19861107,SYN,170,
200058,P,58,R,19880301,SYN,204,
200059,P,59,L,19870707,SYN,195,
200060,P,60,R,19861217,SYN,179,
