player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id
200001,P,01,R,19840117,SYN,177,
200002,P,02,R,19950311,SYN,189,
200003,P,03,R,19901227,SYN,203,
200004,P,04,R,19940901,SYN,,
200005,P,05,R,19971024,SYN,189,
200006,P,06,R,19870811,SYN,193,
200007,P,07,R,19840420,SYN,184,
200008,P,08,R,19960819,SYN,185,
200009,P,09,R,19941212,SYN,185,
200010,P,10,L,19970420,SYN,204,
200011,P,11,R,19830316,SYN,176,
200012,P,12,R,19881020,SYN,183,
200013,P,13,L,19941002,SYN,173,
200014,P,14,L,19881010,SYN,196,
200015,P,15,R,19910608,SYN,173,
200016,P,16,R,19900218,SYN,174,
200017,P,17,R,19910718,SYN,191,
200018,P,18,R,19901022,SYN,176,
200019,P,19,R,19840518,SYN,201,
200020,P,20,R,19870930,SYN,184,
200021,P,21,L,19930423,SYN,205,
200022,P,22,L,19921201,SYN,194,
200023,P,23,R,19841001,SYN,197,
200024,P,24,R,19870828,SYN,171,
200025,P,25,L,19870108,SYN,173,
200026,P,26,R,19820412,SYN,192,
200027,P,27,R,19940905,SYN,177,
200028,P,28,R,19870104,SYN,195,
200029,P,29,L,19941002,SYN,194,
200030,P,30,R,19831003,SYN,203,
200031,P,31,R,19900504,SYN,193,
200032,P,32,R,19820408,SYN,171,
200033,P,33,L,19840111,SYN,176,
200034,P,34,R,19851013,SYN,192,
200035,P,35,R,19971201,SYN,204,
200036,P,36,R,19820128,SYN,185,
200037,P,37,R,19840817,SYN,191,
200038,P,38,R,19850507,SYN,180,
200039,P,39,R,19970213,SYN,188,
200040,P,40,R,19921112,SYN,180,
200041,P,41,L,19851225,SYN,202,
200042,P,42,R,19900210,SYN,195,
200043,P,43,R,19830319,SYN,173,
200044,P,44,R,19930822,SYN,201,
200045,P,45,R,19920730,SYN,,
200046,P,46,R,19900311,SYN,202,
200047,P,47,R,19940908,SYN,183,
200048,P,48,L,19860516,SYN,203,
200049,P,49,R,19821125,SYN,203,
200050,P,50,R,19960420,SYN,170,
200051,P,51,R,19890702,SYN,205,
200052,P,52,R,19890622,SYN,170,
200053,P,53,R,19840207,SYN,203,
200054,P,54,R,19851123,SYN,186,
200055,P,55,R,19890227,SYN,184,
200056,P,56,L,19940903,SYN,,
200057,P,57,R,19861107,SYN,170,
200058,P,58,R,19880301,SYN,204,
200059,P,59,L,19870707,SYN,195,
200060,P,60,R,19861217,SYN,179,
200061,P,61,R,19881204,SYN,201,
200062,P,62,R,19870812,SYN,204,
200063,P,63,R,19870729,SYN,178,
200064,P,64,R,19910614,SYN,177,
200065,P,65,R,19841028,SYN,196,
200066,P,66,R,19920627,SYN,190,
200067,P,67,L,19931008,SYN,191,
200068,P,68,R,19960314,SYN,193,
200069,P,69,R,19890404,SYN,171,
200070,P,70,L,19880529,SYN,189,
200071,P,71,L,19851205,SYN,204,
200072,P,72,R,19950303,SYN,179,
200073,P,73,R,19900129,SYN,186,
200074,P,74,R,19941215,SYN,174,
200075,P,75,R,19970803,SYN,178,
200076,P,76,R,19890106,SYN,,
200077,P,77,R,19830531,SYN,204,
200078,P,78,L,19930304,SYN,196,
200079,P,79,R,19870914,SYN,198,
200080,P,80,R,19930516,SYN,203,
200081,P,81,R,19930414,SYN,176,
200082,P,82,R,19960825,SYN,197,
200083,P,83,L,19920127,SYN,175,
200084,P,84,R,19890410,SYN,181,
200085,P,85,L,19890128,SYN,,
200086,P,86,R,19960427,SYN,194,
200087,P,87,R,19871213,SYN,182,
200088,P,88,R,19850525,SYN,203,
200089,P,89,R,19960714,SYN,205,
200090,P,90,R,19880227,SYN,179,
200091,P,91,R,19970704,SYN,173,
200092,P,92,R,19941207,SYN,174,
200093,P,93,R,19870418,SYN,189,
200094,P,94,R,19931021,SYN,200,
200095,P,95,R,19861119,SYN,202,
200096,P,96,R,19940414,SYN,174,
200097,P,97,R,19940620,SYN,179,
200098,P,98,R,19820919,SYN,191,
200099,P,99,R,19951220,SYN,190,
200100,P,100,R,19930921,SYN,179,
200101,P,101,R,19840225,SYN,203,
200102,P,102,R,19900516,SYN,186,
200103,P,103,R,19840420,SYN,191,
200104,P,104,R,19860126,SYN,182,
200105,P,105,L,19961221,SYN,192,
200106,P,106,L,19940104,SYN,192,
200107,P,107,R,19911008,SYN,203,
200108,P,108,R,19961122,SYN,,
200109,P,109,R,19940529,SYN,200,
200110,P,110,R,19910206,SYN,198,
200111,P,111,R,19841029,SYN,204,
200112,P,112,R,19940530,SYN,173,
200113,P,113,R,19930310,SYN,,
200114,P,114,R,19970103,SYN,182,
200115,P,115,R,19890605,SYN,204,
200116,P,116,R,19890604,SYN,181,
200117,P,117,R,19841115,SYN,191,
200118,P,118,R,19850710,SYN,,
200119,P,119,R,19950524,SYN,205,
200120,P,120,R,19890126,SYN,197,
